event,date,eventLabel,year
http://www.wikidata.org/entity/Q67369229,2100-01-01 00:00:00+00:00,Q67369229,2100
http://www.wikidata.org/entity/Q62060882,2039-03-23 00:00:00+00:00,GPS week number rollover,2039
http://www.wikidata.org/entity/Q137418668,2025-12-16 00:00:00+00:00,2025 Odintsovo school attack,2025
http://www.wikidata.org/entity/Q137216987,2025-11-29 00:00:00+00:00,closed concert of Ayumi Hamasaki in Shunghai,2025
http://www.wikidata.org/entity/Q136956856,2025-11-23 00:00:00+00:00,Q136956856,2025
http://www.wikidata.org/entity/Q136820771,2025-11-18 00:00:00+00:00,2025 visit by Mohammed bin Salman to the United States,2025
http://www.wikidata.org/entity/Q136842201,2025-11-17 00:00:00+00:00,2025 Medina bus crash,2025
http://www.wikidata.org/entity/Q136762962,2025-11-11 00:00:00+00:00,2025 Islamabad suicide bombing,2025
http://www.wikidata.org/entity/Q136778640,2025-11-08 00:00:00+00:00,One Hope School Fall Festival 2025,2025
http://www.wikidata.org/entity/Q137101907,2025-11-01 00:00:00+00:00,German auction house cancels sale of Holocaust artefacts after outcry,2025
http://www.wikidata.org/entity/Q137143004,2025-11-01 00:00:00+00:00,2025 Sumatra floods and landslides,2025
http://www.wikidata.org/entity/Q137171495,2025-11-01 00:00:00+00:00,2025 Southeast Asia floods and landslides,2025
http://www.wikidata.org/entity/Q136391651,2025-10-28 00:00:00+00:00,Official presentation of the National Observatory on Minorities (2025),2025
http://www.wikidata.org/entity/Q136530218,2025-10-18 00:00:00+00:00,Africa and beyond...,2025
http://www.wikidata.org/entity/Q136527111,2025-10-16 00:00:00+00:00,2025 Chattogram EPZ fire,2025
http://www.wikidata.org/entity/Q136418160,2025-10-01 00:00:00+00:00,"Edit-a-thon in Milan, Museo della Scienza, Ottobre 2025",2025
http://www.wikidata.org/entity/Q136389543,2025-09-26 00:00:00+00:00,Wiki Loves Bangla 2025 prize-giving ceremony,2025
http://www.wikidata.org/entity/Q136289655,2025-09-14 00:00:00+00:00,100th anniversary of public bus transportation in Poznań,2025
http://www.wikidata.org/entity/Q136265208,2025-09-10 00:00:00+00:00,Killing of Ashur Sarnaya,2025
http://www.wikidata.org/entity/Q136289114,2025-08-20 00:00:00+00:00,Killing of Lisa from Abcoude,2025
http://www.wikidata.org/entity/Q135905301,2025-08-15 00:00:00+00:00,2025 Elastik powder factory explosion,2025
http://www.wikidata.org/entity/Q135647505,2025-08-05 00:00:00+00:00,2025 Uttarakhand flash flood,2025
http://www.wikidata.org/entity/Q135903419,2025-08-03 00:00:00+00:00,2025 Haiti orphanage kidnapping,2025
http://www.wikidata.org/entity/Q135906901,2025-08-01 00:00:00+00:00,relocation of Kiruna Church,2025
http://www.wikidata.org/entity/Q135784007,2025-07-28 00:00:00+00:00,Killing of Awdah Hathaleen,2025
http://www.wikidata.org/entity/Q135405551,2025-07-16 00:00:00+00:00,2025 Kut shopping mall fire,2025
http://www.wikidata.org/entity/Q135283819,2025-07-09 00:00:00+00:00,Murder of Lal Chand aka Sohag,2025
http://www.wikidata.org/entity/Q135990671,2025-07-06 00:00:00+00:00,Purnia witchcraft murders,2025
http://www.wikidata.org/entity/Q135741976,2025-07-01 00:00:00+00:00,2025 Tirah Valley firing,2025
http://www.wikidata.org/entity/Q134717185,2025-06-02 00:00:00+00:00,Killing of Sana Yousaf,2025
http://www.wikidata.org/entity/Q134689214,2025-05-31 00:00:00+00:00,Operation Web,2025
http://www.wikidata.org/entity/Q134533246,2025-05-21 00:00:00+00:00,Florida Gators White House visit (May 2025),2025
http://www.wikidata.org/entity/Q134691813,2025-05-01 00:00:00+00:00,2025 Czech Archives Conference,2025
http://www.wikidata.org/entity/Q134234016,2025-04-28 00:00:00+00:00,2025 Iberian Peninsula blackout,2025
http://www.wikidata.org/entity/Q133871310,2025-04-14 00:00:00+00:00,"Tour of the Nordau Portal on Passover Chol HaMoed, 14 April 2025",2025
http://www.wikidata.org/entity/Q134238893,2025-04-14 00:00:00+00:00,Detention of Mohsen Mahdawi,2025
http://www.wikidata.org/entity/Q133796130,2025-03-31 00:00:00+00:00,Q133796130,2025
http://www.wikidata.org/entity/Q133691197,2025-03-27 00:00:00+00:00,2025 Red Sea tourist submarine disaster,2025
http://www.wikidata.org/entity/Q133287067,2025-03-15 00:00:00+00:00,Dao Khanong Expressway Bridge collapse,2025
http://www.wikidata.org/entity/Q131985857,2025-03-04 00:00:00+00:00,2025 State of the Union Address,2025
http://www.wikidata.org/entity/Q133248931,2025-03-01 00:00:00+00:00,Texas army base poised to become mass deportation hub under Trump plan,2025
http://www.wikidata.org/entity/Q132775324,2025-02-25 00:00:00+00:00,Q132775324,2025
http://www.wikidata.org/entity/Q132680823,2025-02-22 00:00:00+00:00,2025 Mulhouse stabbing attack,2025
http://www.wikidata.org/entity/Q132744381,2025-02-16 00:00:00+00:00,Suicide of Prakriti Lamsal,2025
http://www.wikidata.org/entity/Q136721103,2025-02-14 00:00:00+00:00,Elef Milim – Gaza envelope,2025
http://www.wikidata.org/entity/Q130294339,2025-02-14 00:00:00+00:00,Elef Milim – Ashdod,2025
http://www.wikidata.org/entity/Q132767210,2025-01-25 00:00:00+00:00,murder of Mattia Ahmet Minguzzi,2025
http://www.wikidata.org/entity/Q131940411,2025-01-24 00:00:00+00:00,2025 dismissal of United States inspectors general,2025
http://www.wikidata.org/entity/Q131838979,2025-01-18 00:00:00+00:00,2025 assassination of Sharia judges in Iran,2025
